# Source Nat'l Physical Lab, UK, http://www.kayelaby.npl.co.uk/general_physics/2_4/2_4_6.html
# ,kg/m^3,,m/s,,100 neper/m,,MHz,,100 neper/m/Mhz^b,,,
Medium,Density.lower,Density.upper,Speed.lower,Speed.upper,alpha.lower,alpha.upper,f.lower,f.upper,a.lower,a.upper,b.lower,b.upper
Air,1.2,1.2,330,330,0,0,1,1,1,1,1,1
Amniotic fluid,965,965,1534,1534,0.0093,0.0093,5,5,,,,
Blood,1055,1055,1584,1584,0.095,0.13,5,5,0.014,0.018,1.19,1.23
Bone (skull),1610,1610,2190,3289,9,9,3,3,,,,
Bone (trabecular),1920,1920,1688,2407,0.22–1.8,1.8,0.2,1,,,,
Brain,1030,1041,1562,1562,0.46,0.72,5,5,0.067,0.069,1.2,1.46
Breast,1020,1020,1430,1570,0.96,0.96,5,5,0.086,0.086,1.5,1.5
Eye (lens),1034,1113,1640,1673,0.9,0.9,10,10,,,,
Eye (vitreous humor),1009,1009,1523,1532,0.07,0.07,6,6,,,,
Fat,917,939,1412,1487,0.56,0.56,6,6,,,,
Heart,1044,1044,1571,1571,0.23,0.23,1,1,,,,
Kidney,1050,1050,1560,1580,0.23,0.23,2,2,,,,
Liver,1050,1070,1578,1640,0.17,0.57,5,5,0.041,0.07,0.9,1.3
Muscle,1070,1070,1542,1626,,,,,,,,
Muscle (skeletal),1038,1056,1529,1629,0.54,0.54,4.3,4.3,,,,
Pancreas,1040,1050,1591,1591,0.42,0.42,5,5,0.12,0.12,0.78,0.78
Skin (epidermis),1110,1190,1729,1729,1.06,1.06,5,5,,,,
Spleen,1054,1054,1567,1635,0.23,0.66,5,5,0.036,0.062,1.14,1.47
Teeth (dentine),2030,2350,3140,4140,9.2,9.2,18,18,,,,
Teeth (dentine),2030,2350,3140,4140,9.2,9.2,18,18,,,,
Teeth (enamel),2890,3020,4500,6250,14,14,18,18,,,,
Testes,1044,1044,1595,1595,0.3,0.3,5,5,0.02,0.02,1.7,1.7
Uterus,1052,1052,1629,1629,0.027,0.22,1,1,,,,
Water,1000,1000,1480,1480,0,0,1,1,1,1,1,1
